Cited paper title,Cited paper eid,Citing paper title,Citing paper eid,Cited paper link,Citing paper link
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,A privacy-aware visual query approach for location-based data,2-s2.0-85165625550,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85165625550&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Automatic Evaluation of Disclosure Risks of Text Anonymization Methods,2-s2.0-85138789888,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85138789888&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,LDPTrace: Locally Differentially Private Trajectory Synthesis,2-s2.0-85153584578,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85153584578&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Privacy-preserving generation and publication of synthetic trajectory microdata: A comprehensive survey,2-s2.0-85198274262,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85198274262&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Traj-MergeGAN: A Trajectory Privacy Preservation Model Based on Generative Adversarial Network,2-s2.0-85200725487,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85200725487&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Trajectory privacy protection method with smart contract-based query exchange in the Social Internet of Vehicles,2-s2.0-85190066347,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85190066347&origin=resultslist
Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,Database management system performance comparisons: A systematic literature review,2-s2.0-85177177518,https://www.scopus.com/record/display.uri?eid=2-s2.0-85139405955&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85177177518&origin=resultslist
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,Data Cube Technology for Accessing of Large Database,2-s2.0-85186675157,https://www.scopus.com/record/display.uri?eid=2-s2.0-85107683405&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85186675157&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,Addressing Collective Computations Efficiency: Towards a Platform-level Reinforcement Learning Approach,2-s2.0-85142336363,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85142336363&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,Distributed applications and interoperable systems,2-s2.0-84928253676,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-84928253676&origin=resultslist
