Paper title,Paper eid,Paper doi,Citing paper title,Citing paper eid,Citing paper doi
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,10.1109/ICDE53745.2022.00175
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Mining hourly population dynamics by activity type based on decomposition of sequential snapshot data,2-s2.0-85136226665,10.1080/17538947.2022.2110290
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Towards a Federated Learning Approach for Privacy-aware Analysis of Semantically Enriched Mobility Data,2-s2.0-85110326989,10.1145/3452369.3463823
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,An Efficient Approach for Spatial Trajectory Anonymization,2-s2.0-85121922321,10.1007/978-3-030-90888-1_44
Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,10.1007/s10796-022-10320-2
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Exploiting the Internet Resources for Autonomous Robots in Agriculture,2-s2.0-85160651880,10.3390/agriculture13051005
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"A secured big-data sharing platform for materials genome engineering: State-of-the-art, challenges and architecture",2-s2.0-85145253028,10.1016/j.future.2022.12.026
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,On the Optimization of Query Plans in Multistores (Discussion Paper),2-s2.0-85173485992,
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Toward Data Lake Technologies for Intelligent Societies and Cities,2-s2.0-85162176776,10.1007/978-3-031-30514-6_1
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"Mining Data Wrangling Workflows for Patterns, Reuse and Optimisation Opportunities",2-s2.0-85158965423,
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Application of Big Data Technology in Business Management,2-s2.0-85142431269,10.1117/12.2653082
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Towards Human-centric AutoML via Logic and Argumentation,2-s2.0-85130740902,
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Research on Mixed Transaction Analytical Data Management Oriented to Data Middle Platform,2-s2.0-85125785920,10.1109/PIC53636.2021.9687022
Conversational OLAP,2-s2.0-85118769792,,,,
Optimizing Execution Plans in a Multistore,2-s2.0-85115134032,10.1007/978-3-030-82472-3_11,Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,10.1007/s10796-022-10320-2
Optimizing Execution Plans in a Multistore,2-s2.0-85115134032,10.1007/978-3-030-82472-3_11,HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035
Optimizing Execution Plans in a Multistore,2-s2.0-85115134032,10.1007/978-3-030-82472-3_11,On the Optimization of Query Plans in Multistores (Discussion Paper),2-s2.0-85173485992,
Optimizing Execution Plans in a Multistore,2-s2.0-85115134032,10.1007/978-3-030-82472-3_11,Multi-model query languages: taming the variety of big data,2-s2.0-85160752944,10.1007/s10619-023-07433-1
Optimizing Execution Plans in a Multistore,2-s2.0-85115134032,10.1007/978-3-030-82472-3_11,Towards Human-centric AutoML via Logic and Argumentation,2-s2.0-85130740902,
Conversational OLAP in action,2-s2.0-85113716450,10.5441/002/edbt.2021.74,Conversational OLAP,2-s2.0-85118769792,
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,Describing and Assessing Cubes Through Intentional Analytics,2-s2.0-85165002810,10.48786/edbt.2023.69
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,Using Regression to Explain Cube Measures,2-s2.0-85173478290,
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,Insight-Based Vocalization of OLAP Sessions,2-s2.0-85137993971,10.1007/978-3-031-15740-0_15
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12,Describing Multidimensional Data Through Highlights (Discussion Paper),2-s2.0-85137469232,
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Fabrication and investigation of agricultural monitoring system with IoT &amp; AI,2-s2.0-85176146606,10.1007/s42452-023-05526-1
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,LambdAgrIoT: a new architecture for agricultural autonomous robots’ scheduling: from design to experiments,2-s2.0-85140242438,10.1007/s10586-022-03592-5
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Evaluation of Different Methods and Models for Grass Cereals’ Production Estimation: Case Study in Wheat,2-s2.0-85163947335,10.3390/agronomy13061500
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Smart farming using cloud-based Iot data analytics,2-s2.0-85160202478,10.1016/j.measen.2023.100806
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,"Design and Implementation of a Framework for Smart Home Automation Based on Cellular IoT, MQTT, and Serverless Functions",2-s2.0-85159183627,10.3390/s23094459
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Sustainable energy storage devices and device design for sensors and actuators applications,2-s2.0-85175480437,10.1002/9781119817741.ch10
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,A Comprehensive Study on Smart Agriculture Applications in India,2-s2.0-85150639675,10.1007/s11277-023-10234-5
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,A Scalable Device for Undisturbed Measurement of Water and CO<inf>2</inf> Fluxes through Natural Surfaces,2-s2.0-85149895087,10.3390/s23052647
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Essentials of internet of things in smart agriculture: Design principles and architectures for its application in various domains and use cases,2-s2.0-85151850523,10.4018/978-1-6684-6821-0.ch011
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Recent advancements of Internet of Things in Precision Agriculture: A Review,2-s2.0-85164560145,10.1109/ICDT57929.2023.10150981
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,An IoT-enabled energy-efficient approach for the detection of leaf curl disease in tomato crops,2-s2.0-85138137895,10.1007/s11276-022-03071-0
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Is the Rural Population Caught in the Whirlwind of the Digital Divide?,2-s2.0-85144727610,10.3390/agriculture12121976
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,A Smart and Mechanized Agricultural Application: From Cultivation to Harvest,2-s2.0-85132567954,10.3390/app12126021
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Laser Weeding With Small Autonomous Vehicles: Friends or Foes?,2-s2.0-85127263541,10.3389/fagro.2022.841086
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Analysis of the Chlorophyll and Carotenoids Content in Brassica Chinensis Plants Using IoT-Based Sprinkle Irrigation,2-s2.0-85134762829,10.12911/22998993/150683
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,AgroInfo DSF: A Smart Decision Support Framework for Precision Agriculture and Farming,2-s2.0-85134605028,10.1007/978-3-031-10388-9_7
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,"Machine Learning in Precision Agriculture: A Survey on Trends, Applications and Evaluations over Two Decades",2-s2.0-85134207203,10.1109/ACCESS.2022.3188649
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,IoT in Farm Productivity Enhancement,2-s2.0-85130172241,10.1109/DASA54658.2022.9765273
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Prediction of pest insect appearance using sensors and machine learning,2-s2.0-85110132246,10.3390/s21144846
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,Augmented intelligent distributed sensing system model for precision agriculture,2-s2.0-85107774063,10.1109/ConfTELE50222.2021.9435498
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,A path model of the intention to adopt variable rate irrigation in Northeast Italy,2-s2.0-85100936750,10.3390/su13041879
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,On Designing and Implementing Agro-ecology IoT Applications: Issues from Applied Research Projects,2-s2.0-85123005832,10.1109/EDOCW52865.2021.00050
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,10.3390/agronomy11010181,AgriFusion: An Architecture for IoT and Emerging Technologies Based on a Precision Agriculture Survey,2-s2.0-85116901267,10.1109/ACCESS.2021.3116814
DART: De-Anonymization of personal gazetteers through social trajectories,2-s2.0-85093926143,10.1016/j.jisa.2020.102634,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
DART: De-Anonymization of personal gazetteers through social trajectories,2-s2.0-85093926143,10.1016/j.jisa.2020.102634,A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204
DART: De-Anonymization of personal gazetteers through social trajectories,2-s2.0-85093926143,10.1016/j.jisa.2020.102634,Associated Information and Communication Technologies Challenges of Smart City Development,2-s2.0-85143791703,10.3390/su142316240
DART: De-Anonymization of personal gazetteers through social trajectories,2-s2.0-85093926143,10.1016/j.jisa.2020.102634,Toward Privacy Preservation Using Clustering Based Anonymization: Recent Advances and Future Research Outlook,2-s2.0-85130492882,10.1109/ACCESS.2022.3175219
DART: De-Anonymization of personal gazetteers through social trajectories,2-s2.0-85093926143,10.1016/j.jisa.2020.102634,A Privacy-Aware Zero Interaction Smart Mobility System,2-s2.0-85123721902,10.1109/ACCESS.2022.3146340
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,Insight-Based Vocalization of OLAP Sessions,2-s2.0-85137993971,10.1007/978-3-031-15740-0_15
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,Cross-national differences in big data analytics adoption in the retail industry,2-s2.0-85119055485,10.1016/j.jretconser.2021.102827
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,What's the Situation with Situated Visualization? A Survey and Perspectives on Situatedness,2-s2.0-85118642294,10.1109/TVCG.2021.3114835
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,Conversational OLAP,2-s2.0-85118769792,
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,Conversational OLAP in action,2-s2.0-85113716450,10.5441/002/edbt.2021.74
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,10.1016/j.is.2020.101520,Path Planning of Unmanned Autonomous Helicopter Based on Human-Computer Hybrid Augmented Intelligence,2-s2.0-85099932402,10.1155/2021/6639664
Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006,A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204
Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006,COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752
Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006,Conversational OLAP,2-s2.0-85118769792,
Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006,Study of Effective Mining Algorithms for Frequent Itemsets,2-s2.0-85101981547,10.1007/978-981-15-9509-7_41
Summarization and visualization of multi-level and multi-dimensional itemsets,2-s2.0-85079239065,10.1016/j.ins.2020.02.006,Multidimensional Heterogeneous Medical Data Push in Intelligent Cloud Collaborative Management System,2-s2.0-85095819851,10.1155/2020/7574609
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Data Narration for the People: Challenges and Opportunities,2-s2.0-85165089398,10.48786/edbt.2023.82
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,"Why Did the “Missing Middle” Miss the Train? An Actors-In-Systems Exploration of Barriers to Intensified Family Housing in Waterloo Region, Canada",2-s2.0-85149246696,10.3390/land12020434
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Binding Data Narrations - Corroborating the Plausibility of Scientific Narratives by Open Research Data,2-s2.0-85174637694,10.1109/JCDL57899.2023.00028
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Highlighting the Importance of Intentional Aspects in Data Narrative Crafting Processes,2-s2.0-85168569804,10.1007/s10796-023-10418-1
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Computational narratives using Model-Driven Engineering,2-s2.0-85143906656,10.1109/CLEI56649.2022.9959933
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Data Narrative Crafting via a Comprehensive and Well-Founded Process,2-s2.0-85137981454,10.1007/978-3-031-15740-0_25
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,A data narrative about tuberculosis pandemic in Gabon,2-s2.0-85130756836,
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Generating personalized data narrations from EDA notebooks,2-s2.0-85129221734,
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Intelligent Narrative Summaries: From Indicative to Informative Summarization,2-s2.0-85113907936,10.1016/j.bdr.2021.100257
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Three trajectories for narrative visualisation,2-s2.0-85105052507,10.1016/j.visinf.2021.04.001
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Research Data Management and Data Literacies,2-s2.0-85136718318,10.1016/C2020-0-02068-2
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,10.1007/978-3-030-62522-1_19,Towards Enhancing Database Education: Natural Language Generation Meets Query Execution Plans,2-s2.0-85108945554,10.1145/3448016.3452822
Supporting the generation of data narratives,2-s2.0-85095734112,,Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3
Supporting the generation of data narratives,2-s2.0-85095734112,,Computational narratives using Model-Driven Engineering,2-s2.0-85143906656,10.1109/CLEI56649.2022.9959933
Supporting the generation of data narratives,2-s2.0-85095734112,,Computational Understanding of Narratives: A Survey,2-s2.0-85139867862,10.1109/ACCESS.2022.3205314
Supporting the generation of data narratives,2-s2.0-85095734112,,On the design of an interactive automatic Python programming skills assessment system,2-s2.0-85136934584,10.1109/ECAI54874.2022.9847414
Supporting the generation of data narratives,2-s2.0-85095734112,,A data narrative about tuberculosis pandemic in Gabon,2-s2.0-85130756836,
OLAP Querying of Document Stores in the Presence of Schema Variety,2-s2.0-85090883258,,Data Warehouse Based on NoSQL: A literature mapping,2-s2.0-85115761767,10.23919/CISTI52073.2021.9476293
The Tell-Tale Cube,2-s2.0-85090100247,10.1007/978-3-030-54832-2_16,Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516
The Tell-Tale Cube,2-s2.0-85090100247,10.1007/978-3-030-54832-2_16,Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3
The Tell-Tale Cube,2-s2.0-85090100247,10.1007/978-3-030-54832-2_16,Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,10.5441/002/edbt.2021.12
