Paper title,Citing paper title
Making data platforms smarter with MOSES,832
Crop Management with the IoT: An Interdisciplinary Survey,29
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,22
Towards a foundational API for resilient distributed systems design,14
Towards a Conceptual Model for Data Narratives,13
Towards conversational OLAP,13
Enhancing Cubes with Models to Describe Multidimensional Data,12
Trajectory-Based Spatiotemporal Entity Linking,12
Assess queries for interactive analysis of data cubes,10
COOL: A framework for conversational OLAP,10
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,10
Multi-sensor profiling for precision soil-moisture monitoring,9
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",8
Augmented business intelligence,7
Summarization and visualization of multi-level and multi-dimensional itemsets,7
Supporting the generation of data narratives,6
DART: De-Anonymization of personal gazetteers through social trajectories,6
Optimizing Execution Plans in a Multistore,5
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,5
The Tell-Tale Cube,4
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,4
Suggesting assess queries for interactive analysis of multidimensional data,2
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,1
Cost-based Optimization of Multistore Query Plans,1
Conversational OLAP in action,1
OLAP Querying of Document Stores in the Presence of Schema Variety,1
Insight-Based Vocalization of OLAP Sessions,1
Describing Multidimensional Data Through Highlights (Discussion Paper),0
Conversational OLAP,0
