Paper title,Paper eid,Paper doi,Citing paper title,Citing paper eid,Citing paper doi
Process-driven design of cloud data platforms,2-s2.0-85216873928,10.1016/j.is.2025.102527,,,
Automating materiality assessment with a data-driven document-based approach,2-s2.0-85213286497,10.1016/j.jjimei.2024.100310,,,
An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,2-s2.0-85212101165,10.1016/j.ecoinf.2024.102947,,,
VOOL: A modular insight-based framework for vocalizing OLAP sessions,2-s2.0-85211035819,10.1016/j.is.2024.102496,,,
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055,Particle filtering supported probability density estimation of mobility patterns,2-s2.0-85190319631,10.1016/j.heliyon.2024.e29437
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055,GS-FFO Based Meta-Heuristic Clustering for Discovering Colossal Patterns in High-Dimensional Data,2-s2.0-85208624461,10.1007/978-981-97-6810-3_22
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055,Colossal Trajectory Mining Semantic Co-movement Pattern Mining,2-s2.0-85202010909,
Explaining cube measures through Intentional Analytics,2-s2.0-85180538265,10.1016/j.is.2023.102338,VOOL: A modular insight-based framework for vocalizing OLAP sessions,2-s2.0-85211035819,10.1016/j.is.2024.102496
Colossal Trajectory Mining Semantic Co-movement Pattern Mining,2-s2.0-85202010909,,,,
AutoClues: Exploring Clustering Pipelines via AutoML and Diversification,2-s2.0-85192544367,10.1007/978-981-97-2242-6_20,,,
Towards a Process-Driven Design of Data Platforms,2-s2.0-85188658537,,Process-driven design of cloud data platforms,2-s2.0-85216873928,10.1016/j.is.2025.102527
Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,10.1007/s10796-022-10320-2,Optimising Queries for Pattern Detection Over Large Scale Temporally Evolving Graphs,2-s2.0-85196759800,10.1109/ACCESS.2024.3417352
Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,10.1007/s10796-022-10320-2,Optimizing Data Integration Processes with the Support of Machine Learning - Is it Really Possible?,2-s2.0-85188586018,
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Enhancing efficiency and data utility in longitudinal data anonymization,2-s2.0-85217245348,10.1016/j.ins.2025.121949
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,RNC-DP: A personalized trajectory data publishing scheme combining road network constraints and GAN,2-s2.0-85208497662,10.1016/j.future.2024.107589
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Enhancing Privacy in Big Data Publishing: η-Inference Model,2-s2.0-85214416627,10.1007/978-981-96-0850-8_17
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Dynamic-Parameter Genetic Algorithm for Multi-objective Privacy-Preserving Trajectory Data Publishing,2-s2.0-85211248262,10.1007/978-981-96-0576-7_4
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Personalized Privacy Preserving for Spatial Crowdsourcing by Reinforcement Learning in VANETs,2-s2.0-85207919389,10.1109/JIOT.2024.3485650
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Privacy-Preserving Modeling of Trajectory Data: Secure Sharing Solutions for Trajectory Data Based on Granular Computing,2-s2.0-85211771055,10.3390/math12233681
